days_since_pandemic_declared,car_traffic_volume,high_low_car_traffic,bike_ped_traffic_volume,high_low_bike_ped_traffic,cars_per_bike_or_ped
0,171123,High Car Traffic,14070,Low Bike + Ped Traffic,12
1,81171,Low Car Traffic,4250,Low Bike + Ped Traffic,19
78,155548,High Car Traffic,30296,High Bike + Ped Traffic,5
79,166997,High Car Traffic,38730,High Bike + Ped Traffic,4
84,149431,High Car Traffic,20214,Low Bike + Ped Traffic,7
85,279941,High Car Traffic,40842,High Bike + Ped Traffic,7
86,51469,Low Car Traffic,12101,Low Bike + Ped Traffic,4
90,83376,Low Car Traffic,42901,High Bike + Ped Traffic,2
91,214059,High Car Traffic,65352,High Bike + Ped Traffic,3
97,422,Low Car Traffic,270,Low Bike + Ped Traffic,2
104,559,Low Car Traffic,349,Low Bike + Ped Traffic,2
105,848,Low Car Traffic,320,Low Bike + Ped Traffic,3
111,512,Low Car Traffic,305,Low Bike + Ped Traffic,2
113,576,Low Car Traffic,108,Low Bike + Ped Traffic,5
119,89977,Low Car Traffic,24613,Low Bike + Ped Traffic,4
120,252,Low Car Traffic,61,Low Bike + Ped Traffic,4
122,34835,Low Car Traffic,8699,Low Bike + Ped Traffic,4
125,985,Low Car Traffic,191,Low Bike + Ped Traffic,5
127,560,Low Car Traffic,87,Low Bike + Ped Traffic,6
133,116295,High Car Traffic,4573,Low Bike + Ped Traffic,25
134,110995,High Car Traffic,6119,Low Bike + Ped Traffic,18
136,116514,High Car Traffic,6373,Low Bike + Ped Traffic,18
139,225792,High Car Traffic,69776,High Bike + Ped Traffic,3
140,215625,High Car Traffic,67983,High Bike + Ped Traffic,3
141,3926,Low Car Traffic,429,Low Bike + Ped Traffic,9
147,563,Low Car Traffic,55,Low Bike + Ped Traffic,10
148,4232,Low Car Traffic,1009,Low Bike + Ped Traffic,4
160,660,Low Car Traffic,467,Low Bike + Ped Traffic,1
162,5948,Low Car Traffic,1135,Low Bike + Ped Traffic,5
167,33741,Low Car Traffic,14300,Low Bike + Ped Traffic,2
170,232630,High Car Traffic,77780,High Bike + Ped Traffic,3
175,237,Low Car Traffic,60,Low Bike + Ped Traffic,4
181,698,Low Car Traffic,382,Low Bike + Ped Traffic,2
188,7776,Low Car Traffic,644,Low Bike + Ped Traffic,12
189,388,Low Car Traffic,330,Low Bike + Ped Traffic,1
195,165746,High Car Traffic,14432,Low Bike + Ped Traffic,11
196,171006,High Car Traffic,14476,Low Bike + Ped Traffic,12
197,169030,High Car Traffic,14233,Low Bike + Ped Traffic,12
199,164160,High Car Traffic,12074,Low Bike + Ped Traffic,14
204,104627,High Car Traffic,26953,High Bike + Ped Traffic,4
209,3129,Low Car Traffic,236,Low Bike + Ped Traffic,13
223,1028,Low Car Traffic,646,Low Bike + Ped Traffic,2
225,7632,Low Car Traffic,422,Low Bike + Ped Traffic,18
238,125918,High Car Traffic,17906,Low Bike + Ped Traffic,7
244,3268,Low Car Traffic,574,Low Bike + Ped Traffic,6
245,34144,Low Car Traffic,1476,Low Bike + Ped Traffic,23
246,700,Low Car Traffic,159,Low Bike + Ped Traffic,4
258,1260,Low Car Traffic,436,Low Bike + Ped Traffic,3
350,4378,Low Car Traffic,569,Low Bike + Ped Traffic,8
357,4731,Low Car Traffic,782,Low Bike + Ped Traffic,6
358,4146,Low Car Traffic,613,Low Bike + Ped Traffic,7
363,83128,Low Car Traffic,42779,High Bike + Ped Traffic,2
364,140725,High Car Traffic,26799,High Bike + Ped Traffic,5
370,124387,High Car Traffic,18680,Low Bike + Ped Traffic,7
371,97496,Low Car Traffic,5976,Low Bike + Ped Traffic,16
372,117266,High Car Traffic,27886,High Bike + Ped Traffic,4
377,3508,Low Car Traffic,333,Low Bike + Ped Traffic,11
378,92534,Low Car Traffic,15066,Low Bike + Ped Traffic,6
384,2851,Low Car Traffic,793,Low Bike + Ped Traffic,4
385,6252,Low Car Traffic,4662,Low Bike + Ped Traffic,1
393,14185,Low Car Traffic,3932,Low Bike + Ped Traffic,4
420,254785,High Car Traffic,79667,High Bike + Ped Traffic,3
421,128549,High Car Traffic,44460,High Bike + Ped Traffic,3
423,117871,High Car Traffic,47626,High Bike + Ped Traffic,2
427,104036,High Car Traffic,35872,High Bike + Ped Traffic,3
428,183532,High Car Traffic,65102,High Bike + Ped Traffic,3
430,155137,High Car Traffic,80785,High Bike + Ped Traffic,2
442,21089,Low Car Traffic,2756,Low Bike + Ped Traffic,8
469,64848,Low Car Traffic,16848,Low Bike + Ped Traffic,4
472,308549,High Car Traffic,82535,High Bike + Ped Traffic,4
475,49848,Low Car Traffic,8749,Low Bike + Ped Traffic,6
500,113002,High Car Traffic,49434,High Bike + Ped Traffic,2
505,135952,High Car Traffic,43877,High Bike + Ped Traffic,3
531,82873,Low Car Traffic,3438,Low Bike + Ped Traffic,24
535,117345,High Car Traffic,14817,Low Bike + Ped Traffic,8
538,73611,Low Car Traffic,13106,Low Bike + Ped Traffic,6
542,25682,Low Car Traffic,1592,Low Bike + Ped Traffic,16
